	circuit_key	circuit_short_name	location
0	2	Silverstone	Silverstone
1	4	Hungaroring	Budapest
2	6	Imola	Imola
3	7	Spa-Francorchamps	Spa-Francorchamps
4	9	Austin	Austin
5	10	Melbourne	Melbourne
6	14	Interlagos	São Paulo
7	15	Catalunya	Barcelona
8	19	Spielberg	Spielberg
9	22	Monte Carlo	Monaco
10	23	Montreal	Montréal
11	39	Monza	Monza
12	46	Suzuka	Suzuka
13	49	Shanghai	Shanghai
14	55	Zandvoort	Zandvoort
15	61	Singapore	Marina Bay
16	63	Sakhir	Sakhir
17	65	Mexico City	Mexico City
18	70	Yas Marina Circuit	Yas Island
19	144	Baku	Baku
20	149	Jeddah	Jeddah
21	150	Lusail	Lusail
22	151	Miami	Miami
23	152	Las Vegas	Las Vegas
