Round	Year	raceId	grandPrixId	SafetyCarStatus_deployed	SafetyCarStatus_unique	redFlag	redFlag_unique	yellowFlag	yellowFlag_unique	doubleYellowFlag	doubleYellowFlag_unique
1	2024	1102	bahrain	0	0	0	7	1	7	1	7
2	2024	1103	saudi-arabia	1	2	0	7	1	7	1	7
3	2024	1104	australia	2	2	0	6	2	6	2	6
4	2024	1105	japan	0	0	1	7	2	7	1	7
5	2024	1106	china	3	2	0	5	2	5	3	5
6	2024	1107	miami	2	2	0	6	1	6	2	6
7	2024	1108	emilia-romagna	0	0	0	7	1	7	1	7
8	2024	1109	monaco	0	0	1	7	1	7	2	7
9	2024	1110	canada	2	2	0	7	10	7	5	7
10	2024	1111	spain	0	0	0	4	0	4	0	4
11	2024	1112	austria	1	1	0	6	1	6	0	6
12	2024	1113	great-britain	0	0	0	4	0	4	0	4
13	2024	1114	hungary	0	0	0	5	1	5	0	5
14	2024	1115	belgium	0	0	0	4	1	4	0	4
15	2024	1116	netherlands	0	0	0	6	1	6	1	6
16	2024	1117	italy	0	0	0	3	0	3	0	3
17	2024	1118	azerbaijan	1	1	0	6	4	6	3	6
18	2024	1119	singapore	0	0	0	3	0	3	0	3
19	2024	1120	united-states	1	2	0	7	4	7	3	7
20	2024	1121	mexico	1	2	0	6	2	6	2	6
21	2024	1122	sao-paulo	3	2	1	7	3	7	13	7
22	2024	1123	las-vegas	0	0	0	5	1	5	0	5
23	2024	1124	qatar	3	3	0	6	1	6	4	6
24	2024	1125	abu-dhabi	1	2	0	7	3	7	5	7
